s,t,delta
629,1,-1
629,2,0
629,1,0
629,2,0
629,1,0
628,2,-1
628,1,0
628,2,0
626,1,-2
626,2,0
626,1,0
626,2,0
624,1,-2
624,2,0
623,1,-1
623,2,0
623,1,0
622,2,-1
622,1,0
621,2,-1
621,1,0
621,2,0
620,1,-1
620,2,0
619,1,-1
619,2,0
618,1,-1
618,2,0
618,1,0
616,2,-2
616,1,0
617,2,1
616,1,-1
615,2,-1
615,1,0
615,2,0
614,1,-1
614,2,0
615,1,1
613,2,-2
613,1,0
613,2,0
613,1,0
612,2,-1
610,1,-2
610,2,0
610,1,0
610,2,0
608,1,-2
608,2,0
608,1,0
608,2,0
607,1,-1
607,2,0
607,1,0
606,2,-1
605,1,-1
605,2,0
605,1,0
605,2,0
604,1,-1
604,2,0
603,1,-1
603,2,0
602,1,-1
602,2,0
601,1,-1
601,2,0
600,1,-1
601,2,1
600,1,-1
599,2,-1
599,1,0
598,2,-1
598,1,0
597,2,-1
597,1,0
598,2,1
596,1,-2
596,2,0
596,1,0
594,2,-2
594,1,0
594,2,0
592,1,-2
594,2,2
592,1,-2
591,2,-1
592,1,1
590,2,-2
591,1,1
589,2,-2
589,1,0
589,2,0
589,1,0
588,2,-1
587,1,-1
587,2,0
587,1,0
586,2,-1
585,1,-1
585,2,0
584,1,-1
584,2,0
583,1,-1
584,2,1
583,1,-1
582,2,-1
582,1,0
581,2,-1
581,1,0
581,2,0
580,1,-1
580,2,0
579,1,-1
578,2,-1
577,1,-1
577,2,0
577,1,0
577,2,0
576,1,-1
575,2,-1
575,1,0
575,2,0
575,1,0
574,2,-1
573,1,-1
573,2,0
573,1,0
573,2,0
572,1,-1
572,2,0
572,1,0
572,2,0
571,1,-1
572,2,1
570,1,-2
570,2,0
569,1,-1
569,2,0
568,1,-1
568,2,0
568,1,0
568,2,0
568,1,0
568,2,0
567,1,-1
567,2,0
566,1,-1
565,2,-1
566,1,1
566,2,0
565,1,-1
565,2,0
565,1,0
564,2,-1
565,1,1
564,2,-1
564,1,0
563,2,-1
562,1,-1
563,2,1
562,1,-1
562,2,0
562,1,0
562,2,0
561,1,-1
561,2,0
560,1,-1
560,2,0
560,1,0
560,2,0
559,1,-1
559,2,0
559,1,0
560,2,1
558,1,-2
558,2,0
559,1,1
558,2,-1
558,1,0
558,2,0
557,1,-1
557,2,0
557,1,0
557,2,0
557,1,0
558,2,1
556,1,-2
556,2,0
556,1,0
555,2,-1
555,1,0
556,2,1
555,1,-1
555,2,0
554,1,-1
554,2,0
554,1,0
554,2,0
553,1,-1
553,2,0
553,1,0
552,2,-1
552,1,0
552,2,0
552,1,0
552,2,0
552,1,0
551,2,-1
551,1,0
551,2,0
551,1,0
550,2,-1
551,1,1
550,2,-1
550,1,0
549,2,-1
549,1,0
549,2,0
549,1,0
549,2,0
549,1,0
549,2,0
548,1,-1
548,2,0
547,1,-1
546,2,-1
547,1,1
548,2,1
546,1,-2
546,2,0
546,1,0
546,2,0
546,1,0
546,2,0
545,1,-1
544,2,-1
545,1,1
544,2,-1
544,1,0
544,2,0
544,1,0
544,2,0
543,1,-1
544,2,1
543,1,-1
543,2,0
543,1,0
542,2,-1
542,1,0
543,2,1
542,1,-1
541,2,-1
542,1,1
541,2,-1
541,1,0
541,2,0
541,1,0
540,2,-1
540,1,0
540,2,0
539,1,-1
540,2,1
540,1,0
540,2,0
538,1,-2
538,2,0
538,1,0
538,2,0
538,1,0
538,2,0
538,1,0
537,2,-1
536,1,-1
536,2,0
536,1,0
536,2,0
536,1,0
535,2,-1
536,1,1
535,2,-1
535,1,0
535,2,0
534,1,-1
535,2,1
534,1,-1
534,2,0
534,1,0
534,2,0
533,1,-1
533,2,0
533,1,0
533,2,0
533,1,0
532,2,-1
532,1,0
532,2,0
532,1,0
532,2,0
532,1,0
532,2,0
531,1,-1
531,2,0
531,1,0
530,2,-1
530,1,0
529,2,-1
529,1,0
529,2,0
528,1,-1
529,2,1
529,1,0
529,2,0
528,1,-1
528,2,0
528,1,0
528,2,0
528,1,0
528,2,0
529,1,1
529,2,0
527,1,-2
527,2,0
527,1,0
527,2,0
527,1,0
527,2,0
527,1,0
526,2,-1
527,1,1
527,2,0
526,1,-1
526,2,0
526,1,0
526,2,0
525,1,-1
526,2,1
525,1,-1
525,2,0
525,1,0
525,2,0
525,1,0
525,2,0
525,1,0
524,2,-1
525,1,1
524,2,-1
524,1,0
524,2,0
524,1,0
523,2,-1
523,1,0
523,2,0
523,1,0
522,2,-1
522,1,0
522,2,0
522,1,0
522,2,0
522,1,0
522,2,0
522,1,0
522,2,0
521,1,-1
521,2,0
521,1,0
520,2,-1
520,1,0
520,2,0
520,1,0
519,2,-1
520,1,1
519,2,-1
519,1,0
519,2,0
518,1,-1
518,2,0
517,1,-1
517,2,0
517,1,0
516,2,-1
516,1,0
516,2,0
516,1,0
516,2,0
516,1,0
512,2,-4
512,1,0
512,2,0
512,1,0
512,2,0
512,1,0
512,2,0
512,1,0
512,2,0
512,1,0
511,2,-1
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
511,1,0
511,2,0
510,1,-1
510,2,0
511,1,1
510,2,-1
510,1,0
510,2,0
510,1,0
510,2,0
510,1,0
510,2,0
510,1,0
510,2,0
509,1,-1
509,2,0
509,1,0
509,2,0
509,1,0
509,2,0
508,1,-1
509,2,1
508,1,-1
509,2,1
509,1,0
508,2,-1
508,1,0
508,2,0
508,1,0
508,2,0
508,1,0
507,2,-1
508,1,1
507,2,-1
508,1,1
507,2,-1
506,1,-1
506,2,0
506,1,0
506,2,0
506,1,0
506,2,0
506,1,0
506,2,0
505,1,-1
505,2,0
505,1,0
506,2,1
505,1,-1
504,2,-1
504,1,0
